Suburb,avg_price,median_price,avg_building_area,total_revenue,transaction_count,avg_price_per_room,avg_landsize,price_to_area_ratio,revenue_pct,cumulative_revenue_pct,pareto_80
Strathmore,1189452.380952381,1150000.0,181.32539682539684,74935500.0,63,348095.993968254,561.2222222222222,6559.77,0.517,68.227,True
Fitzroy,1251983.0508474577,1100000.0,110.09322033898304,73867000.0,59,527021.1862711865,481.77966101694915,11372.03,0.509,68.736,True
Carlton North,1509979.1666666667,1463000.0,121.03687500000001,72479000.0,48,579725.6945833333,287.1666666666667,12475.36,0.5,69.236,True
North Melbourne,884638.1358024691,780000.0,91.5246913580247,71655689.0,81,407828.3271604938,270.5308641975309,9665.57,0.494,69.73,True
Maidstone,715414.8936170213,713000.0,120.41936170212766,67249000.0,94,263796.0992553191,448.8829787234043,5941.03,0.464,70.194,True
Fawkner,649632.3529411765,651250.0,129.86078431372547,66262500.0,102,221890.2774509804,524.8627450980392,5002.53,0.457,70.651,True
Clifton Hill,1149500.0,1180000.0,109.46491228070175,65521500.0,57,481358.91789473686,176.3684210526316,10501.08,0.452,71.103,True
Middle Park,1914882.3529411764,1880000.0,129.7941176470588,65106000.0,34,668696.0782352941,209.94117647058823,14753.23,0.449,71.552,True
Moorabbin,985371.09375,977500.0,131.8515625,63063750.0,64,327660.80765625,532.546875,7473.34,0.435,71.987,True
Glen Waverley,1393630.8444444444,1292000.0,155.73000000000002,62713388.0,45,407966.41488888895,657.0222222222222,8949.02,0.433,72.42,True
Altona,834830.4054054054,773500.0,127.45270270270271,61777450.0,74,283381.1936486486,431.81081081081084,6550.12,0.426,72.846,True
Rosanna,998844.262295082,971000.0,146.81967213114754,60929500.0,61,317372.4045901639,579.9672131147541,6803.2,0.42,73.266,True
Seddon,969991.9354838709,947500.0,123.49193548387096,60139500.0,62,361487.9033870968,228.8548387096774,7854.7,0.415,73.681,True
Collingwood,924192.3076923077,910000.0,94.63076923076923,60072500.0,65,445773.0766153846,393.9846153846154,9766.3,0.414,74.095,True
Avondale Heights,805993.2432432432,769000.0,150.34459459459458,59643500.0,74,249880.6308108108,570.5675675675676,5360.97,0.411,74.506,True
Abbotsford,1060366.0714285714,1093500.0,104.54464285714286,59380500.0,56,449138.3923214286,269.01785714285717,10142.71,0.41,74.916,True
Heidelberg Heights,753991.6666666666,710875.0,119.0576923076923,58811350.0,78,277716.23935897433,474.5769230769231,6332.99,0.406,75.322,True
Windsor,972533.3333333334,817500.0,93.115,58352000.0,60,443752.77783333336,224.2,10444.43,0.402,75.724,True
Oakleigh South,999438.7413793104,968000.0,143.2844827586207,57967447.0,58,315935.979137931,549.0,6975.21,0.4,76.124,True
Doncaster East,1384463.4146341463,1385000.0,186.69560975609758,56763000.0,41,381741.86902439024,610.1463414634146,7415.62,0.391,76.515,True
Mont Albert,1637985.294117647,1583500.0,165.76470588235293,55691500.0,34,467798.0394117647,692.3235294117648,9881.39,0.384,76.899,True
Aberfeldie,1265409.0909090908,1300000.0,149.83636363636364,55678000.0,44,422817.80272727273,514.7727272727273,8445.27,0.384,77.283,True
Carlton,1066948.0392156863,957000.0,108.33333333333333,54414350.0,51,413158.17039215687,304.11764705882354,9848.75,0.375,77.658,True
Flemington,875129.0322580645,917500.0,100.49838709677418,54258000.0,62,359434.14,223.59677419354838,8707.89,0.374,78.032,True
Caulfield South,1144287.2340425532,1160500.0,126.06382978723404,53781500.0,47,425415.77978723403,365.1489361702128,9077.05,0.371,78.403,True
Ashwood,1154673.9130434783,1163000.0,147.29347826086956,53115000.0,46,379874.63782608695,561.0,7839.27,0.366,78.769,True
Oak Park,835890.619047619,821000.0,146.1031746031746,52661109.0,63,267302.54888888885,484.6031746031746,5721.24,0.363,79.132,True
Oakleigh,1109627.6595744682,1050000.0,147.14893617021278,52152500.0,47,343277.30468085106,537.2127659574468,7540.85,0.36,79.492,True
Sunshine West,594382.5581395349,591500.0,137.82034883720928,51116900.0,86,189490.89220930234,592.3139534883721,4312.73,0.353,79.845,True
Airport West,756656.7313432836,755000.0,135.37865671641794,50696001.0,67,256825.87492537315,432.8805970149254,5589.19,0.35,80.195,False
Heidelberg West,644542.7631578947,648125.0,110.92052631578946,48985250.0,76,260303.7282894737,499.63157894736844,5810.85,0.338,80.533,False
Alphington,1400823.5294117648,1516000.0,140.38235294117646,47628000.0,34,435694.85264705884,454.97058823529414,9978.63,0.328,80.861,False
Cheltenham,1030065.2173913043,1073000.0,145.09782608695653,47383000.0,46,333467.39152173913,532.5,7099.11,0.327,81.188,False
Heidelberg,928833.3333333334,835000.0,133.63725490196077,47370500.0,51,316330.718627451,609.0588235294117,6950.41,0.327,81.515,False
Fairfield,1077046.511627907,1125000.0,112.18604651162791,46313000.0,43,389242.2481395349,339.1860465116279,9600.54,0.319,81.834,False
Coburg North,804401.7857142857,780000.0,129.19526964285714,45046500.0,56,281972.91660714283,439.125,6226.25,0.311,82.145,False
Altona North,800973.2142857143,770000.0,147.25892857142858,44854500.0,56,253688.2442857143,517.125,5439.22,0.309,82.454,False
Sunshine North,658685.2941176471,650000.0,137.39117647058825,44790600.0,68,215764.21573529413,552.4264705882352,4794.23,0.309,82.763,False
Hadfield,684684.8709677419,717500.0,137.15322580645162,42450462.0,62,234476.54612903224,518.8709677419355,4992.12,0.293,83.056,False
Eaglemont,1831695.652173913,1901000.0,200.34782608695653,42129000.0,23,540867.3917391304,802.5217391304348,9142.58,0.291,83.347,False
Ivanhoe East,1679680.0,1740000.0,175.78,41992000.0,25,546086.0004,760.36,9555.58,0.29,83.637,False
Sandringham,1678820.0,1710000.0,191.6,41970500.0,25,438296.6664,447.36,8762.11,0.289,83.926,False
Parkville,1264761.2903225806,1040000.0,112.37096774193549,39207600.0,31,523605.10741935484,857.7096774193549,11255.23,0.27,84.196,False
Watsonia,748755.7692307692,720000.0,130.7,38935300.0,52,252851.4423076923,502.0769230769231,5728.81,0.269,84.465,False
Viewbank,933591.4634146341,920000.0,169.28048780487805,38277250.0,41,268608.02829268295,615.2439024390244,5515.06,0.264,84.729,False
Hughesdale,1093457.142857143,1167500.0,130.63685714285714,38271000.0,35,365548.81,424.57142857142856,8370.2,0.264,84.993,False
Caulfield North,1018928.5714285715,622000.0,110.80857142857144,35662500.0,35,391430.9522857143,376.2,9195.39,0.246,85.239,False
